,_id,protocol,hpfeed_id,timestamp,source_ip,destination_ip,identifier,honeypot,type
442,ObjectId(5e280b0c3186f205962b06a5),ICMP,ObjectId(5e280b0a3186f205962b049d),2020-01-22T08:42:50.588Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
443,ObjectId(5e280b0c3186f205962b06a7),ICMP,ObjectId(5e280b0a3186f205962b049c),2020-01-22T08:42:50.583Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
444,ObjectId(5e280b0c3186f205962b06a9),ICMP,ObjectId(5e280b0a3186f205962b049b),2020-01-22T08:42:50.578Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
448,ObjectId(5e280b0c3186f205962b06af),ICMP,ObjectId(5e280b0a3186f205962b0497),2020-01-22T08:42:50.559Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
455,ObjectId(5e280b0c3186f205962b06bb),ICMP,ObjectId(5e280b0a3186f205962b0490),2020-01-22T08:42:50.523Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
456,ObjectId(5e280b0c3186f205962b06bd),ICMP,ObjectId(5e280b0a3186f205962b048f),2020-01-22T08:42:50.518Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
463,ObjectId(5e280b0c3186f205962b06c8),ICMP,ObjectId(5e280b0a3186f205962b0488),2020-01-22T08:42:50.483Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
469,ObjectId(5e280b0c3186f205962b06d2),ICMP,ObjectId(5e280b0a3186f205962b0482),2020-01-22T08:42:50.453Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
477,ObjectId(5e280b0c3186f205962b06e0),ICMP,ObjectId(5e280b0a3186f205962b047a),2020-01-22T08:42:50.414Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
478,ObjectId(5e280b0c3186f205962b06e1),ICMP,ObjectId(5e280b0a3186f205962b0479),2020-01-22T08:42:50.409Z,192.168.3.17,192.168.3.25,5569ce7e-3cd5-11ea-93bf-f0761c6e3594,suricata,NORMAL
